key	qid	label	note
BNE MSS/10133	Q1039505	MS: Madrid: Nacional (BNE), MSS/10133. Avignon: Alvar Pérez de Sevilla, canónigo de Jaén, 1385-01-13. Juan Fernández de 	SPARQL label-contains match
BNE MSS/10234	Q1039608	MS: Madrid: Nacional (BNE), MSS/10234. 1441 ca. - 1458-03-25 ad quem. Desconocido, [Genealogía de la casa de Lara], escr	SPARQL label-contains match
BNE MSS/10285	Q1040168	MS: Madrid: Nacional (BNE), MSS/10285. Sevilla: Alfonso Martínez del Puerto, 1421-12-23 a quo. Nicolas de Lyre, Postilla	SPARQL label-contains match
BNE MSS/10673	Q1040263	MS: Madrid: Nacional (BNE), MSS/10673. Valladolid:, 1523-07-30. Pedro de Mena, Sumario de la crónica del rey don Enrique	SPARQL label-contains match
BNE MSS/10263	Q1040841	MS: Madrid: Nacional (BNE), MSS/10263. 1526 ca. - 1575 ca. seudo-Alfonso de Palencia… Crónica castellana de Enrique IV, 	SPARQL label-contains match
BNE MSS/1208	Q1039261	MS: Madrid: Nacional (BNE), MSS/1208. 1441 ca. - 1460 ca. Aegidius Romanus, arzobispo de Bourges, Regimiento de príncipe	SPARQL label-contains match
BNE MSS/12367	Q1039503	MS: Madrid: Nacional (BNE), MSS/12367. Illueca: Juan de Oviedo, 1454. Juan Fernández de Heredia, gran maestre de Rodas, 	SPARQL label-contains match
BNE MSS/12895	Q1041102	MS: Madrid: Nacional (BNE), MSS/12895. Guadalajara: Francisco Hurtado, para Sebastián Rodríguez, alguacil de Guadalajara	SPARQL label-contains match
BNE MSS/11639	Q1042643	MS: Madrid: Nacional (BNE), MSS/11639. 1651 ca. Lope García de Salazar, señor de Torre de Salazar, Nobles familias de qu	SPARQL label-contains match
BNE MSS/11541	Q1040980	MS: Madrid: Nacional (BNE), MSS/11541. 1420 ca. Desconocido, Capítulo de la fiesta de la visitación de santa María, escr	SPARQL label-contains match
BNE MSS/1478	Q1039430	MS: Madrid: Nacional (BNE), MSS/1478. 1429-08-12 a quo - 1450 ca. Alfonso Chirino, Menor daño de medicina, escrito 1430 	SPARQL label-contains match
BNE MSS/1462	Q1039998	MS: Madrid: Nacional (BNE), MSS/1462. 1541 ca. - 1560 ca. Desconocido, [Recetas de perfumes, medicinas y conservas], esc	SPARQL label-contains match
BNE MSS/13414	Q1040853	MS: Madrid: Nacional (BNE), MSS/13414. San Lorenzo de El Escorial:, 1701 - 1800. Alfonso X, rey de Castilla y León, Priv	SPARQL label-contains match
BNE MSS/13331	Q1041375	MS: Madrid: Nacional (BNE), MSS/13331. 1511 ca. - 1520 ca. Alfons I, rei d’Aragó, Fuero de Viguera y Val de Funes (tr. D	SPARQL label-contains match
BNE MSS/1737	Q1042539	MS: Madrid: Nacional (BNE), MSS/1737. Cristóbal de Rojas, 1585-12-16. Diego Enríquez del Castillo, Crónica de Enrique IV	SPARQL label-contains match
BNE MSS/1745	Q1041863	MS: Madrid: Nacional (BNE), MSS/1745. Madrid: para Francisco Guillamas Velázquez, 1590-04. Desconocido, [Crónica de la p	SPARQL label-contains match
BNE MSS/1777	Q1043264	MS: Madrid: Nacional (BNE), MSS/1777. 1591 ca. - 1602 ad quem. Fernando de Pulgar, Crónica de los Reyes Católicos, escri	SPARQL label-contains match
BNE MSS/2076	Q1042556	MS: Madrid: Nacional (BNE), MSS/2076. 1501 - 1600. Isa ben Gabir, alfaquí de Segovia, Breviario sunni, escrito 1462.	SPARQL label-contains match
BNE MSS/18640/51	Q1042802	MS: Madrid: Nacional (BNE), MSS/18640/51. Guadalajara:, 1390-04-15. Juan I, rey de Castilla y León, Carta Real en que Ju	SPARQL label-contains match
BNE MSS/20930	Q1043649	MS: Madrid: Nacional (BNE), MSS/20930. 1631-05-18. Lope García de Salazar, señor de Torre de Salazar, Bienandanzas y for	SPARQL label-contains match
BNE MSS/250	Q1039069	MS: Madrid: Nacional (BNE), MSS/250. 1433-10-27 a quo. Desconocido, Fuero de Salamanca, escrito 1300 ca. ad quem.	SPARQL label-contains match
BNE MSS/2165	Q1039271	MS: Madrid: Nacional (BNE), MSS/2165. 1426 ca. - 1450 ca. Lanfrancus Mediolanensis, Cirugía menor (tr. Desconocido), tra	SPARQL label-contains match
BNE MSS/3384	Q1039431	MS: Madrid: Nacional (BNE), MSS/3384. 1441 ca. - 1460 ca. Alfonso Chirino, Espejo de medicina, escrito 1419 ad quem.	SPARQL label-contains match
BNE MSS/2803	Q1042505	MS: Madrid: Nacional (BNE), MSS/2803. Manuel Pantoja, 1601 - 1700. Alfonso X, rey de Castilla y León, Repartimiento de S	SPARQL label-contains match
BNE MSS/4514	Q1039204	MS: Madrid: Nacional (BNE), MSS/4514. 1467-11-28 a quo - 1475 ca. Aristoteles, Ética de Aristóteles (tr. Nuño de Guzmán 	SPARQL label-contains match
BNE MSS/6176	Q1040381	MS: Madrid: Nacional (BNE), MSS/6176. 1571 ca. a quo - 1600 ca. Fernán Pérez del Pulgar, capitán general de Alhama, Crón	SPARQL label-contains match
BNE MSS/4515	Q1039782	MS: Madrid: Nacional (BNE), MSS/4515. 1491 ca. - 1510 ca. Fernán Pérez de Guzmán, señor de Batres, Floresta de filósofos	SPARQL label-contains match
BNE MSS/6539	Q1040960	MS: Madrid: Nacional (BNE), MSS/6539. 1504-11-26 a quo - 1550. Desconocido, Devocionario hispanolatino, escrito 1485 ca.	SPARQL label-contains match
BNE MSS/7115	Q1040761	MS: Madrid: Nacional (BNE), MSS/7115. 1601 ca. - 1650 ca. seudo-Alfonso de Palencia… Crónica castellana de Enrique IV, e	SPARQL label-contains match
BNE MSS/7376	Q1041377	MS: Madrid: Nacional (BNE), MSS/7376. 1501 ca. - 1550 ca. seudo-Alfonso de Palencia… Crónica castellana de Enrique IV, e	SPARQL label-contains match
BNE MSS/7131	Q1042295	MS: Madrid: Nacional (BNE), MSS/7131. Madrid: Luis de Usoz y Río, 1855-07-13. Gregorius I, papa, Diálogos (tr. Gonzalo d	SPARQL label-contains match
BNE MSS/6576	Q1043859	MS: Madrid: Nacional (BNE), MSS/6576. 1601 ca. - 1650 ca. Diego Fernández de Mendoza… [Libro de armería (versión de 1496	SPARQL label-contains match
BNE MSS/800	Q1039102	MS: Madrid: Nacional (BNE), MSS/800. 1391 ca. - 1410 ca. Desconocido, Fuero general de Navarra (Versión B) (tr. Desconoc	SPARQL label-contains match
BNE MSS/7629	Q1040820	MS: Madrid: Nacional (BNE), MSS/7629. 1501 ca. - 1550 ca. Fernando de Pulgar, Crónica de los Reyes Católicos, escrito 14	SPARQL label-contains match
BNE MSS/8216	Q1041170	MS: Madrid: Nacional (BNE), MSS/8216. 1741 ca. - 1760 ca. Desconocido… Fuero viejo de Castilla (tr. Desconocido), traduc	SPARQL label-contains match
BNE MSS/761	Q1041449	MS: Madrid: Nacional (BNE), MSS/761. Antonio Díaz?, 1594. Desconocido, Fuero general de Navarra (Versión C) (tr. Descono	SPARQL label-contains match
BNE MSS/845	Q1043147	MS: Madrid: Nacional (BNE), MSS/845. para Miguel Beltrán y Peris, 1633. García López de Padilla ~ Pere Alegre… [Definici	SPARQL label-contains match
BNE MSS/9180	Q1040969	MS: Madrid: Nacional (BNE), MSS/9180. 1434 ca. a quo - 1500 ca. Lucius Annaeus Seneca, [Tratados de Séneca] (tr. Alonso 	SPARQL label-contains match
BNE MSS/9445	Q1040976	MS: Madrid: Nacional (BNE), MSS/9445. 1550 ca. Pedro Carrillo de Huete, [Crónica del Halconero de Juan II], escrito 1454	SPARQL label-contains match
BNE MSS/9567	Q1040978	MS: Madrid: Nacional (BNE), MSS/9567. 1491-12-20?. Desconocido, Gloriosa pasión contemplativa de Nuestro Señor Jesucrist	SPARQL label-contains match
BNE MSS/892	Q1042112	MS: Madrid: Nacional (BNE), MSS/892. Juan Vázquez del Mármol, 1583-12-20 - 1614-03-20. Desconocido, [Crónica particular 	SPARQL label-contains match
BNE MSS/9580	Q1040257	MS: Madrid: Nacional (BNE), MSS/9580. Sevilla:, 1840. Pedro de Gracia Dei… Historia o defensa del rey don Pedro, escrito	SPARQL label-contains match
BNE MSS/10118	Q1040009	MS: Madrid: Nacional (BNE), MSS/10118. Alfonso Gómez de Zamora, para Íñigo López de Mendoza, 1. marqués de Santillana, 1	SPARQL label-contains match
BNE MSS/11261/38	Q1042609	MS: Madrid: Nacional (BNE), MSS/11261/38. 1701 - 1800. Fueros de Treviño, escrito 1254 ad quem.	SPARQL label-contains match
BNE MSS/1503	Q1042536	MS: Madrid: Nacional (BNE), MSS/1503. Manuel Herrera Gallinato, para Gaspar de Balboa, corregidor, 1626-01-07. Diego Enr	SPARQL label-contains match
BNE MSS/11170	Q1042604	MS: Madrid: Nacional (BNE), MSS/11170. para Rafael de Floranes y Encinas, señor de Tabaneros, 1801-12-06 ad quem. Privil	SPARQL label-contains match
BNE MSS/11460	Q1042636	MS: Madrid: Nacional (BNE), MSS/11460. Francisco Gómez de Arévalo, 1665-05-20. Antonio de Barahona, Rosal de la nobleza 	SPARQL label-contains match
BNE MSS/10171	Q1040497	MS: Madrid: Nacional (BNE), MSS/10171. 1401 - 1500. Leonardo Bruni d’Arezzo, Vida de Aristóteles (tr. Desconocido), trad	SPARQL label-contains match
BNE MSS/10677	Q1042490	MS: Madrid: Nacional (BNE), MSS/10677. 1701 - 1800. Lorenzo Galíndez de Carvajal, Adiciones genealógicas a los Claros va	SPARQL label-contains match
BNE MSS/11087	Q1042579	MS: Madrid: Nacional (BNE), MSS/11087. Madrid:, 1618 a quo - 1700 ca. Ramon de Perellós, 1. vescomte de Perellós, Viaje 	SPARQL label-contains match
BNE MSS/431	Q1039100	MS: Madrid: Nacional (BNE), MSS/431. 1391 ca. - 1400 ca. Fernando III… Libro de los fueros de Castilla, compilado 1248 a	SPARQL label-contains match
BNE MSS/10073	Q1040802	MS: Madrid: Nacional (BNE), MSS/10073. Juan Álvarez, 1391 ca. - 1410 ca. Desconocido, [Gramática latina con ejemplos en 	SPARQL label-contains match
BNE MSS/12693	Q1042674	MS: Madrid: Nacional (BNE), MSS/12693. 1701 - 1800. Juan Núñez de Lara, Primeras leyes escritas que se hicieron en Vizca	SPARQL label-contains match
BNE MSS/10208	Q1040508	MS: Madrid: Nacional (BNE), MSS/10208. 1401 - 1500. Benvenuto da Imola, [Comentario sobre el Infierno de la Divina comed	SPARQL label-contains match
BNE MSS/10106	Q1040749	MS: Madrid: Nacional (BNE), MSS/10106. 1401 ca. - 1420 ca. Leonardus Pisanus, Aritmética práctica (tr. Desconocido), tra	SPARQL label-contains match
BNE MSS/10141	Q1042332	MS: Madrid: Nacional (BNE), MSS/10141. 1401 - 1600. Gonzalo Chacón, señor de Casarrubios… Crónica de don Alvaro de Luna,	SPARQL label-contains match
BNE MSS/10147	Q1042333	MS: Madrid: Nacional (BNE), MSS/10147. 1576 ca. - 1600 ca. Diego Enríquez del Castillo, Crónica de Enrique IV, escrito 1	SPARQL label-contains match
BNE MSS/10150	Q1042335	MS: Madrid: Nacional (BNE), MSS/10150. 1525 ca. a quo. Fernando de Pulgar, Crónica de los Reyes Católicos, escrito 1482 	SPARQL label-contains match
BNE MSS/10212	Q1040509	MS: Madrid: Nacional (BNE), MSS/10212. 1458-03-25 ad quem. Leonardo Bruni d’Arezzo, Tratado de la caballería (tr. Descon	SPARQL label-contains match
BNE MSS/10246	Q1040513	MS: Madrid: Nacional (BNE), MSS/10246. 1491 ca. - 1510 ca. Marcus Tullius Cicero, Libro de officiis (tr. Gonzalo de la C	SPARQL label-contains match
BNE MSS/10260	Q1042431	MS: Madrid: Nacional (BNE), MSS/10260. 1501 - 1600. Philippe de Commynes, sieur de Argenton, Crónica del rey Luis de Fra	SPARQL label-contains match
BNE MSS/10284	Q1040167	MS: Madrid: Nacional (BNE), MSS/10284. Sevilla: Alfonso Martínez del Puerto, para Alfonso de Guzmán, señor de Ayamonte, 	SPARQL label-contains match
BNE MSS/10269(3)	Q1043528	MS: Madrid: Nacional (BNE), MSS/10269(3). 1401 ca. - 1450 ca. Brunetto Latini, Libro del tesoro (tr. Alonso de Paredes…)	SPARQL label-contains match
BNE MSS/10347	Q1039879	MS: Madrid: Nacional (BNE), MSS/10347. Granada: Hernando de Talavera, arzobispo de Granada, 1496-01-08 - 1497-06-28. Her	SPARQL label-contains match
BNE MSS/10322	Q1041094	MS: Madrid: Nacional (BNE), MSS/10322. 1551 ca. - 1600 ca. Pedro López de Ayala, canciller mayor de Castilla, Libro de l	SPARQL label-contains match
BNE MSS/10614	Q1041598	MS: Madrid: Nacional (BNE), MSS/10614. Madrid: Miquel Salvá Munar, obispo de Mallorca, 1840-03-20. Rodrigo Jiménez de Ra	SPARQL label-contains match
BNE MSS/10703	Q1042491	MS: Madrid: Nacional (BNE), MSS/10703. Madrid: para Rafael de Floranes y Encinas, señor de Tabaneros, 1792. Fernando III	SPARQL label-contains match
BNE MSS/11155	Q1042521	MS: Madrid: Nacional (BNE), MSS/11155. 1701 - 1800. Pedro de Gracia Dei… Historia o defensa del rey don Pedro, escrito 1	SPARQL label-contains match
BNE MSS/1178	Q1039704	MS: Madrid: Nacional (BNE), MSS/1178. Pedro de Navas, para Alvar Gómez de Castro, 1578-03-11. Alfonso Martínez de Toledo	SPARQL label-contains match
BNE MSS/11423	Q1042633	MS: Madrid: Nacional (BNE), MSS/11423. 1540 ca. - 1560 ca. Garci Alonso de Torres, rey de armas de Aragó, Espejo de nobl	SPARQL label-contains match
BNE MSS/11682	Q1042646	MS: Madrid: Nacional (BNE), MSS/11682. Juan Pérez de Vargas, 1550 ca. Juan Pérez de Vargas… [Libro de armería (versión t	SPARQL label-contains match
BNE MSS/11761	Q1042649	MS: Madrid: Nacional (BNE), MSS/11761. 1690 ca. Antonio de Barahona, Rosal de la nobleza de España, escrito 1530-12-25.	SPARQL label-contains match
BNE MSS/12722	Q1040015	MS: Madrid: Nacional (BNE), MSS/12722. Gonzalo Rodríguez de Santiago, para Juan II, rey de Castilla y León, 1424. Titus 	SPARQL label-contains match
BNE MSS/12743	Q1041101	MS: Madrid: Nacional (BNE), MSS/12743. Pedro, 1451 ca. - 1475 ca. Alonso de Cartagena, obispo de Burgos, Doctrinal de lo	SPARQL label-contains match
BNE MSS/12875	Q1043040	MS: Madrid: Nacional (BNE), MSS/12875. 1701 - 1800. Diego de Castilla, deán de Toledo, Memoria de las cosas antiguas, es	SPARQL label-contains match
BNE MSS/12929/30	Q1042715	MS: Madrid: Nacional (BNE), MSS/12929/30. 1307 ca. Diego García de Toledo, adelantado mayor de Reino de Galicia, [Carta 	SPARQL label-contains match
BNE MSS/12932/48	Q1042725	MS: Madrid: Nacional (BNE), MSS/12932/48. Valladolid:, 1307-05-05. Vataza Lascaris, [Carta familiar a Jaume II d’Aragó],	SPARQL label-contains match
BNE MSS/12932/49	Q1042726	MS: Madrid: Nacional (BNE), MSS/12932/49. 1313-10-27. Garcilaso de la Vega II, adelantado mayor de Castilla, [Carta a Ja	SPARQL label-contains match
BNE MSS/1396	Q1039002	MS: Madrid: Nacional (BNE), MSS/1396. 1426 ca. - 1450 ca. Desconocido, Crónica ocampiana, escrito 1300 - 1400.	SPARQL label-contains match
BNE MSS/13261	Q1040852	MS: Madrid: Nacional (BNE), MSS/13261. 1571 ca. - 1590 ca. Lorenzo Galíndez de Carvajal, Crónica de Enrique IV, escrito 	SPARQL label-contains match
BNE MSS/13274	Q1040813	MS: Madrid: Nacional (BNE), MSS/13274. 1441 ca. - 1460 ca. Anicius Manlius Severinus Boethius, Consolación de filosofía 	SPARQL label-contains match
BNE MSS/1376	Q1042548	MS: Madrid: Nacional (BNE), MSS/1376. 1577 a quo - 1591 ad quem. al-Razi, Crónica del moro Rasis (tr. Pedro del Corral…)	SPARQL label-contains match
BNE MSS/1533	Q1039370	MS: Madrid: Nacional (BNE), MSS/1533. 1301 ca. - 1310 ca. Desconocido, [Recetas], escrito 1500 ca. ad quem.	SPARQL label-contains match
BNE MSS/1518	Q1039751	MS: Madrid: Nacional (BNE), MSS/1518. 1471 ca. - 1480 ca. Desconocido, [Historia de los macabeos] (tr. Pedro Martínez de	SPARQL label-contains match
BNE MSS/1487	Q1042549	MS: Madrid: Nacional (BNE), MSS/1487. 1501 ca. - 1550 ca. Alfonso X, rey de Castilla y León, Estoria de España (versión 	SPARQL label-contains match
BNE MSS/1499	Q1042550	MS: Madrid: Nacional (BNE), MSS/1499. 1591 ca. - 1600 ca. Pedro de Portugal, 3. conde de Barcelos, Crónica de 1344 (segu	SPARQL label-contains match
BNE MSS/1800	Q1039529	MS: Madrid: Nacional (BNE), MSS/1800. 1426 ca. - 1450 ca. Aegidius Romanus, arzobispo de Bourges, Regimiento de príncipe	SPARQL label-contains match
BNE MSS/1804	Q1041220	MS: Madrid: Nacional (BNE), MSS/1804. 1551? - 1600?. Alfonso de Vivero, 2. vizconde de Altamira, Pregunta a fray Luis de	SPARQL label-contains match
BNE MSS/1814	Q1040000	MS: Madrid: Nacional (BNE), MSS/1814. 1491 ca. - 1510 ca. Bernat Desclot, [Crónica de los reyes de Aragón y condes de Ba	SPARQL label-contains match
BNE MSS/18631/21	Q1043671	MS: Madrid: Nacional (BNE), MSS/18631/21. 1491 ca. - 1510 ca. Juan II, rey de Castilla y León, [Carta a la ciudad de Tol	SPARQL label-contains match
BNE MSS/18697/87	Q1042804	MS: Madrid: Nacional (BNE), MSS/18697/87. Madrigal de las Altas Torres:, 1438-12-08. Juan II, rey de Castilla y León, [C	SPARQL label-contains match
BNE MSS/18631/23	Q1043673	MS: Madrid: Nacional (BNE), MSS/18631/23. 1491 ca. - 1510 ca. Juan II, rey de Castilla y León, [Carta patente a la ciuda	SPARQL label-contains match
BNE MSS/18631/25	Q1043676	MS: Madrid: Nacional (BNE), MSS/18631/25. 1491 ca. - 1510 ca. Juan II, rey de Castilla y León, [Cédula real a la ciudad 	SPARQL label-contains match
BNE MSS/18631/28	Q1043679	MS: Madrid: Nacional (BNE), MSS/18631/28. 1491 ca. - 1510 ca. Juan II, rey de Castilla y León, [Carta enviada a Juan de 	SPARQL label-contains match
BNE MSS/18631/29	Q1043680	MS: Madrid: Nacional (BNE), MSS/18631/29. 1491 ca. - 1510 ca. Juan II, rey de Castilla y León, [Carta a Pedro López de A	SPARQL label-contains match
BNE MSS/18772	Q1040269	MS: Madrid: Nacional (BNE), MSS/18772. 1401 - 1500. Francesc Eiximenis, patriarca de Jerusalén, Vida de Jesucristo (tr. 	SPARQL label-contains match
BNE MSS/1904	Q1040476	MS: Madrid: Nacional (BNE), MSS/1904. 1604-08-31 ad quem?. Pedro López de Ayala, canciller mayor de Castilla, Crónica de	SPARQL label-contains match
BNE MSS/1886	Q1041104	MS: Madrid: Nacional (BNE), MSS/18864. 1501 ca. - 1550 ca. Fernando de Pulgar, Crónica de los Reyes Católicos, escrito 1	SPARQL label-contains match
BNE MSS/19700/64	Q1043682	MS: Madrid: Nacional (BNE), MSS/19700/64. 1476-05-05 a quo. Rodrigo Manrique, 1. conde de Paredes de Nava, [Carta al duq	SPARQL label-contains match
BNE MSS/2255	Q1039623	MS: Madrid: Nacional (BNE), MSS/2255. 1434-03-13 a quo. Titus Livius, Décadas de Tito Livio (tr. Pedro López de Ayala, c	SPARQL label-contains match
BNE MSS/2041	Q1042932	MS: Madrid: Nacional (BNE), MSS/2041. 1701 ca. - 1750 ca. Desconocido, Sucesos en la ciudad de Toledo contra los convers	SPARQL label-contains match
BNE MSS/20262/18	Q1043686	MS: Madrid: Nacional (BNE), MSS/20262/18. Tordesillas:, 1409-05-02. Juan II, rey de Castilla y León ~ Catherine of Lanca	SPARQL label-contains match
BNE MSS/3367	Q1041033	MS: Madrid: Nacional (BNE), MSS/3367. Corona d’Aragó:, 1441 ca. a quo - 1500 ca. Desconocido, [Glosa a la Visión deleita	SPARQL label-contains match
BNE MSS/2882 (2)	Q1042377	MS: Madrid: Nacional (BNE), MSS/2882 (2). Nicosia:, 1469-05-03. Íñigo López de Mendoza, 1. marqués de Santillana, Pregun	SPARQL label-contains match
BNE MSS/3258	Q1043831	MS: Madrid: Nacional (BNE), MSS/3258. 1591 ca. - 1600 ca. Garci Alonso de Torres, rey de armas de Aragó, Blasón y recogi	SPARQL label-contains match
BNE MSS/5626	Q1040767	MS: Madrid: Nacional (BNE), MSS/5626. 1441 ca. - 1460 ca. Desconocido, Ejemplos muy notables, escrito 1460 ca. ad quem.	SPARQL label-contains match
BNE MSS/4987	Q1041758	MS: Madrid: Nacional (BNE), MSS/4987. Aragón:, 1541 ca. - 1560 ca. Desconocido, [Tratado jurídico aljamiado], escrito 14	SPARQL label-contains match
BNE MSS/6119	Q1042258	MS: Madrid: Nacional (BNE), MSS/6119. 1501 - 1600. Pedro Barrantes Maldonado Sanabria, Crónica de Enrique III, escrito 1	SPARQL label-contains match
BNE MSS/6149	Q1042765	MS: Madrid: Nacional (BNE), MSS/6149. Juan Vázquez del Mármol?, 1579-04-01. Desconocido, “Por la barbacana viene | el bu	SPARQL label-contains match
BNE MSS/6608	Q1039150	MS: Madrid: Nacional (BNE), MSS/6608. 1401 ca. - 1450 ca. Desconocido, Dichos de sabios, escrito 1400 ca. ad quem.	SPARQL label-contains match
BNE MSS/6228	Q1040253	MS: Madrid: Nacional (BNE), MSS/6228. Guadalupe?: Juan, 1451 ca. - 1475 ca. Francesc Eiximenis, patriarca de Jerusalén, 	SPARQL label-contains match
BNE MSS/6416	Q1041233	MS: Madrid: Nacional (BNE), MSS/6416. 1351 ca. - 1400 ca. Desconocido, Código (El) (tr. Desconocido), traducido 1400 ca.	SPARQL label-contains match
BNE MSS/6655	Q1038772	MS: Madrid: Nacional (BNE), MSS/6655. 1301 - 1350. Alfonso X, rey de Castilla y León, Fuero real, promulgado 1255-07-18.	SPARQL label-contains match
BNE MSS/6609	Q1040961	MS: Madrid: Nacional (BNE), MSS/6609. 1444-03-17 a quo - 1500. Íñigo López de Mendoza, 1. marqués de Santillana ~ Alonso	SPARQL label-contains match
BNE MSS/6710	Q1039206	MS: Madrid: Nacional (BNE), MSS/6710. Esteban de Masparranta, 1479-07-31. Aristoteles, Ética de Aristóteles (tr. Nuño de	SPARQL label-contains match
BNE MSS/7012	Q1040758	MS: Madrid: Nacional (BNE), MSS/7012. Lázaro Díaz del Valle y de la Puerta, 1662-09. Pedro Rodríguez de Lena, [Paso honr	SPARQL label-contains match
BNE MSS/7289	Q1040766	MS: Madrid: Nacional (BNE), MSS/7289. 1541 ca. - 1560 ca. Diego Enríquez del Castillo, Crónica de Enrique IV, escrito 14	SPARQL label-contains match
BNE MSS/691 (1)	Q1038832	MS: Madrid: Nacional (BNE), MSS/691 (1). 1341 ca. - 1360 ca. Alfonso X, rey de Castilla y León, Fuero real, promulgado 1	SPARQL label-contains match
BNE MSS/691 (2)	Q1042761	MS: Madrid: Nacional (BNE), MSS/691 (2). 1483 ca. a quo. Alfonso XI, rey de Castilla y León, Ordenamiento de Alcalá de H	SPARQL label-contains match
BNE MSS/7798	Q1040774	MS: Madrid: Nacional (BNE), MSS/7798. 1301 ca. - 1310 ca. Alfonso X, rey de Castilla y León, Fuero real, promulgado 1255	SPARQL label-contains match
BNE MSS/7565	Q1040964	MS: Madrid: Nacional (BNE), MSS/7565. 1468 a quo - 1500 ca. Plutarchus, El tratado de Plutarco de las conquistas del rey	SPARQL label-contains match
BNE MSS/802	Q1039071	MS: Madrid: Nacional (BNE), MSS/802. 1401 ca. - 1425 ca. Desconocido, [Jueces y anales de Teruel hasta 1379], escrito 13	SPARQL label-contains match
BNE MSS/869	Q1040249	MS: Madrid: Nacional (BNE), MSS/869. 1401 ca. - 1425 ca. Albertus de Morra, Regla de la Orden de caballería de Santiago 	SPARQL label-contains match
BNE MSS/9243	Q1040254	MS: Madrid: Nacional (BNE), MSS/9243. 1434 a quo - 1470 ca. ad quem. Francesc Eiximenis, patriarca de Jerusalén, Libro q	SPARQL label-contains match
BNE MSS/8822	Q1040784	MS: Madrid: Nacional (BNE), MSS/8822. 1441 ca. - 1460 ca. Polybius, [Primera guerra púnica] (tr. Desconocido), traducido	SPARQL label-contains match
BNE MSS/9087	Q1043031	MS: Madrid: Nacional (BNE), MSS/9087. 1683-09 a quo. Pedro de Gracia Dei, La universal de casas y solares nobles de Espa	SPARQL label-contains match
BNE MSS/9556	Q1040523	MS: Madrid: Nacional (BNE), MSS/9556. para Pedro González de Mendoza y Figueroa, cardenal?, 1451 ca. - 1495-01-11 ad que	SPARQL label-contains match
BNE MSS/9427	Q1040790	MS: Madrid: Nacional (BNE), MSS/9427. Segovia: Fernando Díaz de Toledo, doctor en leyes, para Juan II, rey de Castilla y	SPARQL label-contains match
BNE MSS/9263	Q1040972	MS: Madrid: Nacional (BNE), MSS/9263. 1451 ca. - 1500 ca. Diego de Valera, maestresala, [Epístola a Juan II estando su a	SPARQL label-contains match
BNE MSS/9428	Q1040975	MS: Madrid: Nacional (BNE), MSS/9428. 1401 ca. - 1450 ca. pseudo-Aristoteles, Notables enseñamientos que envió Aristótel	SPARQL label-contains match
BNE MSS/9532	Q1040155	MS: Madrid: Nacional (BNE), MSS/9532. Alfonso, arcediano de Palenzuela, 1426 ca. - 1450 ca. Desconocido, Tratado sobre l	SPARQL label-contains match
BNE MSS/9742	Q1041085	MS: Madrid: Nacional (BNE), MSS/9742. 1546-07-17. Diego Enríquez del Castillo, Crónica de Enrique IV, escrito 1481 ca.	SPARQL label-contains match
BNE MSS/11261/37	Q1042608	MS: Madrid: Nacional (BNE), MSS/11261/37. 1701 - 1800. Leocadia Fernández, Fueros de Azután (era de 1312), escrito 1274-	SPARQL label-contains match
BNE MSS/9244	Q1040255	MS: Madrid: Nacional (BNE), MSS/9244. Villalpando: Manuel Rodríguez de Sevilla, para Pedro Fernández de Velasco y Solier	SPARQL label-contains match
BNE MSS/1771	Q1042540	MS: Madrid: Nacional (BNE), MSS/1771. 1685. Diego Enríquez del Castillo, Crónica de Enrique IV, escrito 1481 ca.	SPARQL label-contains match
BNE MSS/1367	Q1042547	MS: Madrid: Nacional (BNE), MSS/1367. 1601 - 1700. Diego Fernández de Mendoza… [Libro de armería (versión de 1496)], esc	SPARQL label-contains match
BNE MSS/1464	Q1041974	MS: Madrid: Nacional (BNE), MSS/1464. 1562. Pedro López de Ayala, canciller mayor de Castilla, Libro de la caza de las a	SPARQL label-contains match
BNE MSS/13316	Q1042503	MS: Madrid: Nacional (BNE), MSS/13316. Valladolid: Antonio de Castrillón, 1667-06-24. Samuel Abu Nasr Ibn Abbas, rabí, E	SPARQL label-contains match
BNE MSS/10065	Q1039571	MS: Madrid: Nacional (BNE), MSS/10065. 1469-10-08 a quo - 1500. Pedro Guillén de Segovia, Gaya (La), escrito 1469-10-08 	SPARQL label-contains match
BNE MSS/10253	Q1040261	MS: Madrid: Nacional (BNE), MSS/10253. Cuenca?: Antón de Aguilar, para Lope de Barrientos, canciller mayor de Castilla, 	SPARQL label-contains match
BNE MSS/11304	Q1042627	MS: Madrid: Nacional (BNE), MSS/11304. 1701 - 1800. Pedro Garcés de Cariñena, Nobiliario de Aragón.	SPARQL label-contains match
BNE MSS/11534	Q1042638	MS: Madrid: Nacional (BNE), MSS/11534. 1701 - 1800. Blanca de Portugal y de Castilla, Fuero de Briviesca, escrito 1313-0	SPARQL label-contains match
BNE MSS/11040	Q1042570	MS: Madrid: Nacional (BNE), MSS/11040. 1774-07-19 a quo?. Alfonso XI, rey de Castilla y León, [Carta al Abad de San Pedr	SPARQL label-contains match
BNE MSS/279	Q1039101	MS: Madrid: Nacional (BNE), MSS/279. Navarra:, 1301 ca. - 1350 ca. Desconocido, Fuero general de Navarra (Versión B) (tr	SPARQL label-contains match
